n,p,time
500,24,0.117759
1000,24,2.51409
1500,24,1.80224
2000,24,3.07711
2500,24,5.47606
3000,24,14.2071
3500,24,23.6547
4000,24,44.3977
4500,24,57.2467
5000,24,78.3834
500,24,0.176649
1000,24,0.639065
1500,24,1.51348
2000,24,3.03195
2500,24,6.93567
3000,24,14.4007
3500,24,24.1995
4000,24,41.6075
4500,24,53.555
5000,24,77.9489
500,24,0.202084
1000,24,0.345363
1500,24,1.4728
2000,24,2.05576
2500,24,6.68554
3000,24,16.4153
3500,24,22.8883
4000,24,44.2996
4500,24,58.6822
5000,24,80.9568
500,24,0.202392
1000,24,0.64321
1500,24,1.76282
2000,24,1.87067
2500,24,6.15602
3000,24,16.954
3500,24,23.5908
4000,24,43.17
4500,24,54.7651
5000,24,78.1183
500,24,0.073967
1000,24,0.433936
1500,24,1.47596
2000,24,2.97607
2500,24,7.0441
3000,24,15.2246
3500,24,21.139
4000,24,42.4722
4500,24,58.2413
5000,24,81.5296
500,24,0.161173
1000,24,0.342125
1500,24,1.485
2000,24,3.03826
2500,24,5.9944
3000,24,14.7068
3500,24,23.0942
4000,24,43.3161
4500,24,56.3131
5000,24,79.4441
500,24,0.105728
1000,24,0.360409
1500,24,0.89737
2000,24,2.05222
2500,24,6.5295
3000,24,14.0364
3500,24,21.6516
4000,24,44.3021
4500,24,56.0029
5000,24,82.5254
500,24,0.0639038
1000,24,0.428587
1500,24,1.64948
2000,24,2.71852
2500,24,5.08567
3000,24,14.2035
3500,24,23.2614
4000,24,46.8726
4500,24,56.9291
5000,24,83.0344
500,24,0.137505
1000,24,2.25529
1500,24,1.4813
2000,24,3.48577
2500,24,6.33907
3000,24,13.6484
3500,24,24.7747
4000,24,40.5133
4500,24,58.1624
5000,24,76.0147
500,24,0.18906
1000,24,0.573039
1500,24,1.80235
2000,24,2.90163
2500,24,4.75112
3000,24,12.4601
3500,24,20.9452
4000,24,42.0261
4500,24,55.2933
5000,24,83.0502
500,24,0.0818269
1000,24,0.419835
1500,24,1.59918
2000,24,2.41347
2500,24,6.8144
3000,24,15.4366
3500,24,21.6668
4000,24,42.2894
4500,24,57.0847
5000,24,81.7253
500,24,0.125052
1000,24,0.430537
1500,24,1.38699
2000,24,2.96855
2500,24,4.88945
3000,24,14.6756
3500,24,22.2251
4000,24,44.2552
4500,24,54.3452
5000,24,83.4585
500,24,0.069896
1000,24,0.487838
1500,24,1.3131
2000,24,2.0904
2500,24,6.41199
3000,24,13.2736
3500,24,20.6992
4000,24,45.3255
4500,24,54.7757
5000,24,74.9855
