Function,Module,CPU Time,CPU Time:Idle,CPU Time:Poor,CPU Time:Ok,CPU Time:Ideal,CPU Time:Over,Spin Time,Spin Time:Imbalance or Serial Spinning (OpenMP),Spin Time:Lock Contention (OpenMP),Spin Time:Communication (MPI),Spin Time:Other,Overhead Time,Overhead Time:Creation (OpenMP),Overhead Time:Scheduling (OpenMP),Overhead Time:Reduction (OpenMP),Overhead Time:Other
square,path.x,14.828551,0.040000,1.123365,1.819893,11.845293,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
__kmp_barrier,libiomp5.so,5.874722,1.756322,4.088398,0.030002,0.0,0.0,5.874722,4.295681,0.0,,1.579041,0.0,0.0,0.0,0.0,0.0
__kmp_fork_barrier,libiomp5.so,2.856513,1.916731,0.749742,0.150057,0.039984,0.0,2.856513,2.017330,0.0,,0.839183,0.0,0.0,0.0,0.0,0.0
__kmpc_reduce_nowait,libiomp5.so,1.769250,0.310050,1.209205,0.159993,0.090003,0.0,1.759249,1.419154,0.0,,0.340095,0.010001,0.0,0.0,0.010001,0.0
gen_graph,path.x,0.030000,0.010009,0.019991,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
fletcher16,path.x,0.019977,0.0,0.019977,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
__intel_ssse3_memcpy,path.x,0.019970,0.0,0.0,0.019970,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
deinfinitize,path.x,0.010004,0.0,0.010004,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
__svml_irem4_h9,path.x,0.010000,0.0,0.010000,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
pthread_create,libpthread-2.12.so,0.010000,0.010000,0.0,0.0,0.0,0.0,0.010000,0.0,0.0,,0.010000,0.0,0.0,0.0,0.0,0.0
